"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"00969","STANDARD","Guaynabo",,"Alt De Santa Maria, Alt De Torrimar, Alt De Torrimar Este, Bosque De Los Frailes, Chalets De Altavista, Chalets De Santa Clara, Colinas De Guaynabo, Colinas De Parkville, Colinas Metropolitana, Est Del Parque, Est Reales, Ext Parkville, Ext Santa Paula, Ext Terrs De Guaynabo, Mans De Alejandrino, Mans De Guaynabo, Mans De Santa Paula, Mans Reales, Parq De Bucare, Parq De Bucare Ii, Parq San Ramon, Parq Torremolinos, Qtas Reales, Repto La Esperanza, Terrs De Guaynabo, Urb Alto Apolo, Urb Alto Apolo States, Urb Apolo, Urb Baldwin Mansions, Urb Baldwin Park, Urb Bellomonte, Urb Bucare, Urb Bucare Gdns, Urb Cerro Real, Urb Colimar, Urb Collegeville, Urb El Alamo, Urb El Jard De Guaynabo, Urb El Palmar De Torrimar, Urb Frailes Sur, Urb Highland Gdns, Urb Juan Ponce De Leon, Urb La Colina, Urb La Lomita, Urb La Villa De Torrimar, Urb Los Frailes Sur, Urb Mallorca, Urb Monte Alvernia, Urb Monte Olimpo, Urb Munoz Rivera, Urb Oasis Gdns, Urb Palma Real, Urb Parkville, Urb Pineiro, Urb Ponce De Leon, Urb San Francisco Javier, Urb San Ramon, Urb Santa Clara, Urb Santa Paula, Urb Sierra Berdecia, Urb Terranova, Urb Tierra Alta I, Urb Tierra Alta Ii, Urb Tierra Alta Iii, Urb Torremolinos, Urb Torrimar Est, Villa Avila, Villa Clementina, Villa Lissette, Villas Del Parque, Villas Reales, Vistas De Guaynabo","PR","Guaynabo","America/Puerto_Rico","787","18.38","-66.11","NA","US","0","0",
"00970","PO BOX","Guaynabo",,,"PR",,,,"18.38","-66.11","NA","US","0","0",
"00971","STANDARD","Guaynabo",,"Urb Camino Del Monte, Urb La Fontana De Torrimar","PR","Guaynabo","America/Puerto_Rico","787","18.38","-66.11","NA","US","0","0",
"00975","UNIQUE","San Juan",,"Bureau Of Census","PR","San Juan","America/Puerto_Rico",,"18.4","-66.06","NA","US","0","0",
"00976","STANDARD","Trujillo Alto",,"Alt De Fairview, Alt Interamericana, Bda Gonzalez, Bosque Del Lago, Ciudad Universitaria, Colinas De Fairview, Jard De Trujillo, Lomas De Trujillo, Mans San Rafael, Parc Saint Just, Parq Del Monte, Parq Del Rio, Parq Montebello, Repto San Rafael, Saint Just, Terr De Cupey, Urb Altavilla, Urb Antillana, Urb Corrientes, Urb El Conquistador, Urb Entrerios, Urb Golden Hls, Urb Interamericana Gdn, Urb La Cima, Urb Lago Alto, Urb Lantigua, Urb Lourdes, Urb Monte Trujillo, Urb Montebello Est, Urb Pacifica, Urb Primavera, Urb Riachuelo, Urb Rincon Espanol, Urb Rio Cristal, Urb Riverwalk, Urb Round Hls, Urb San Rafael Vlg, Urb Sunville, Urb Wonderville, Valle San Juan, Villa Blanca, Villa De Caney, Villas Del Sol","PR","Trujillo Alto","America/Puerto_Rico","787,939","18.36","-66.01","NA","US","0","0",
"00977","PO BOX","Trujillo Alto",,,"PR",,,,"18.36","-66.01","NA","US","0","0",
"00978","PO BOX","Saint Just",,"Trujillo Alto","PR","San Juan","America/Puerto_Rico",,"18.37","-66.01","NA","US","0","0","no NWS data, "
"00979","STANDARD","Carolina",,"Ext Villamar, Isla Verde, Parq De Isla Verde, Urb Atlantic View, Urb Biascochea, Urb Cape Sea Vlg, Urb La Marina, Urb Los Angeles, Urb Palmar Norte, Urb Palmar Sur, Urb Villamar, Villa La Marina","PR","Carolina","America/Puerto_Rico","787","18.4","-65.98","NA","US","0","0",
"00981","PO BOX","Carolina",,"Isla Verde","PR","Carolina","America/Puerto_Rico",,"18.4","-65.98","NA","US","0","0",
"00982","STANDARD","Carolina",,"Alt De Villa Fontana, Isla Verde, Qtas De Country Club, Urb Country Club, Urb El Comandante, Villa Flores","PR","Carolina","America/Puerto_Rico","787","18.4","-65.98","NA","US","0","0",
"00983","STANDARD","Carolina",,"Isla Verde, Jard De Country Club, La Ceramica Ind Park, Mans De Vistamar Marina, Urb Bahia Vistamar, Urb Castellana Gdn, Urb Club Costa Marina 1, Urb Club Costa Marina 2, Urb Eduardo J Saldana, Urb Sabana Gdns, Urb Vistamar, Urb Vistamar Marina, Valle Arriba Hts, Villa Asturias, Villa Fontana, Villa Fontana Pk, Villa Venecia","PR","Carolina","America/Puerto_Rico",,"18.4","-65.98","NA","US","0","0",
"00984","PO BOX","Carolina",,,"PR","Carolina","America/Puerto_Rico",,"18.4","-65.98","NA","US","0","0",
"00985","STANDARD","Carolina",,"Bda Buena Vista, Bo Buena Vista, Bo Villa Caridad, Bo Villa Esperanza, Bo Villa Justicia, Est De San Fernando, Isla Verde, Jard De Borinquen, Jard De Buena Vista, Urb Jose S Quinones, Urb Rosa Maria, Villa Carolina, Villa Cooperativa, Villas Del Sol","PR","Carolina","America/Puerto_Rico","787","18.4","-65.98","NA","US","0","0",
"00986","PO BOX","Carolina",,,"PR","Carolina","America/Puerto_Rico",,"18.4","-65.98","NA","US","0","0",
"00987","STANDARD","Carolina",,"Alt De Parq Ecuestre, Bo Buenaventura, Bo Colo, Bo Martin Gonzalez, Brisas De Metropolis, Ciudad Central Ii, Ciudad Centro, Ciudad Jardin, Est Del Parque, Ext Parq Ecuestre, Hacienda Real, Isla Verde, Jard De Carolina, Loma Alta, Lomas De Carolina, Mans De Carolina, Parq Ecuestre, Parq Ind Jn Matos, Paseo De La Alhambra, Paseo Del Prado, Qtas De Campeche, Terrs De Carolina, Urb Carolina Alta, Urb Colinitas De Cacao, Urb Los Arboles, Urb Los Caciques, Urb Los Colobos, Urb Metropolis, Urb Mountain Vw, Urb Paraiso De Carolina, Urb Remanzo Taino, Urb Rolling Hls, Valle Escondido, Villa De San Anton, Villa Del Madrigal","PR","Carolina","America/Puerto_Rico","787","18.4","-65.98","NA","US","0","0",
"00988","PO BOX","Carolina",,,"PR","Carolina","America/Puerto_Rico",,"18.4","-65.98","NA","US","0","0",
"01001","STANDARD","Agawam",,,"MA","Hampden County","America/New_York","413","42.06","-72.61","NA","US","0","14021",
"01002","STANDARD","Amherst","Cushman, Pelham","South Amherst","MA","Hampshire County","America/New_York","413","42.37","-72.52","NA","US","0","16532",
"01003","PO BOX","Amherst",,,"MA","Hampshire County","America/New_York","413","42.37","-72.52","NA","US","0","0",
"01004","PO BOX","Amherst",,,"MA","Hampshire County","America/New_York","413","42.37","-72.52","NA","US","0","742",
"01005","STANDARD","Barre",,,"MA","Worcester County","America/New_York","978","42.42","-72.1","NA","US","0","3935",
"01007","STANDARD","Belchertown",,,"MA","Hampshire County","America/New_York","413","42.27","-72.4","NA","US","0","12895",
"01008","STANDARD","Blandford",,,"MA","Hampden County","America/New_York","413","42.18","-72.93","NA","US","0","1153",
"01009","PO BOX","Bondsville",,,"MA","Hampden County","America/New_York","413","42.2","-72.34","NA","US","0","1055",
"01010","STANDARD","Brimfield",,"East Brimfield","MA","Hampden County","America/New_York","413","42.11","-72.2","NA","US","0","3312",
"01011","STANDARD","Chester",,,"MA","Hampden County","America/New_York","413","42.28","-72.98","NA","US","0","1012",
"01012","STANDARD","Chesterfield",,,"MA","Hampshire County","America/New_York","413","42.4","-72.85","NA","US","0","639",
"01013","STANDARD","Chicopee","Willimansett",,"MA","Hampden County","America/New_York","413","42.17","-72.57","NA","US","0","16669",
"01014","PO BOX","Chicopee",,,"MA","Hampden County","America/New_York","413","42.17","-72.57","NA","US","0","0",
"01020","STANDARD","Chicopee",,,"MA","Hampden County","America/New_York","413","42.17","-72.57","NA","US","0","24570",
"01021","PO BOX","Chicopee",,,"MA","Hampden County","America/New_York","413","42.17","-72.57","NA","US","0","509",
"01022","STANDARD","Chicopee","Westover Afb",,"MA","Hampden County","America/New_York","413","42.17","-72.57","NA","US","0","1713",
"01026","STANDARD","Cummington",,"West Cummington","MA","Hampshire County","America/New_York","413","42.46","-72.9","NA","US","0","865",
"01027","STANDARD","Easthampton","E Hampton, Mount Tom, Westhampton","Loudville","MA","Hampshire County","America/New_York","413","42.26","-72.68","NA","US","0","15525",
"01028","STANDARD","East Longmeadow","E Longmeadow",,"MA","Hampden County","America/New_York","413","42.06","-72.51","NA","US","0","14024",
"01029","PO BOX","East Otis",,"Big Pond, E Otis","MA","Berkshire County","America/New_York","413","42.17","-73.03","NA","US","0","509",
"01030","STANDARD","Feeding Hills",,,"MA","Hampden County","America/New_York","413","42.06","-72.67","NA","US","0","10449",
"01031","STANDARD","Gilbertville",,"Old Furnace","MA","Worcester County","America/New_York","413","42.35","-72.21","NA","US","0","932",
"01032","STANDARD","Goshen",,"Lithia","MA","Hampshire County","America/New_York","413","42.43","-72.8","NA","US","0","489",
"01033","STANDARD","Granby",,,"MA","Hampshire County","America/New_York","413","42.26","-72.52","NA","US","0","5647",
"01034","STANDARD","Granville","Tolland","Granville Center, West Granville","MA","Hampden County","America/New_York","413","42.06","-72.86","NA","US","0","1787",
"01035","STANDARD","Hadley",,"North Hadley","MA","Hampshire County","America/New_York","413","42.35","-72.58","NA","US","0","4327",
"01036","STANDARD","Hampden",,"Hampton","MA","Hampden County","America/New_York","413","42.06","-72.41","NA","US","0","4700",
"01037","PO BOX","Hardwick",,,"MA","Worcester County","America/New_York","413","42.35","-72.2","NA","US","0","714",
"01038","STANDARD","Hatfield",,"West Hatfield","MA","Hampshire County","America/New_York","413","42.37","-72.6","NA","US","0","2161",
"01039","STANDARD","Haydenville","West Whately",,"MA","Hampshire County","America/New_York","413","42.39","-72.7","NA","US","0","1228",
"01040","STANDARD","Holyoke",,"Halyoke","MA","Hampden County","America/New_York","413","42.21","-72.64","NA","US","0","26316",
"01041","PO BOX","Holyoke",,"Halyoke","MA","Hampden County","America/New_York","413","42.21","-72.64","NA","US","0","997",
"01050","STANDARD","Huntington","Montgomery","Crescent Mills, Hntgtn, Knightville, North Chester, South Worthington","MA","Hampshire County","America/New_York","413","42.23","-72.88","NA","US","0","2282",
"01053","STANDARD","Leeds",,,"MA","Hampshire County","America/New_York","413","42.35","-72.71","NA","US","0","1407",
"01054","STANDARD","Leverett",,"East Leverett, North Leverett","MA","Franklin County","America/New_York","413","42.45","-72.5","NA","US","0","1620",
"01056","STANDARD","Ludlow",,,"MA","Hampden County","America/New_York","413","42.16","-72.48","NA","US","0","17529",
"01057","STANDARD","Monson",,,"MA","Hampden County","America/New_York","413","42.09","-72.31","NA","US","0","7429",
"01059","PO BOX","North Amherst","Amherst",,"MA","Hampshire County","America/New_York","413","42.4","-72.52","NA","US","0","0",
"01060","STANDARD","Northampton",,"North Hampton","MA","Hampshire County","America/New_York","413","42.32","-72.67","NA","US","0","10304",
"01061","PO BOX","Northampton",,"North Hampton","MA","Hampshire County","America/New_York","413","42.32","-72.67","NA","US","0","423",
"01062","STANDARD","Florence","Bay State Village, Bay State Vlg, Northampton","North Hampton","MA","Hampshire County","America/New_York","413","42.32","-72.67","NA","US","0","9483",
"01063","UNIQUE","Northampton",,"North Hampton, Smith College","MA","Hampshire County","America/New_York","413","42.32","-72.67","NA","US","0","0",
"01066","PO BOX","North Hatfield","N Hatfield","No Hatfield","MA","Franklin County","America/New_York","413","42.4","-72.6","NA","US","0","0",
"01068","STANDARD","Oakham",,,"MA","Worcester County","America/New_York","508,774","42.35","-72.05","NA","US","0","1807",
"01069","STANDARD","Palmer",,,"MA","Hampden County","America/New_York","413","42.16","-72.32","NA","US","0","6950",
"01070","STANDARD","Plainfield",,,"MA","Hampshire County","America/New_York","413","42.51","-72.91","NA","US","0","467",
"01071","STANDARD","Russell",,,"MA","Hampden County","America/New_York","413","42.18","-72.85","NA","US","0","1376",
"01072","STANDARD","Shutesbury",,,"MA","Franklin County","America/New_York","413","42.45","-72.4","NA","US","0","1269",
"01073","STANDARD","Southampton",,,"MA","Hampshire County","America/New_York","413","42.23","-72.73","NA","US","0","5385",
"01074","PO BOX","South Barre",,,"MA","Worcester County","America/New_York","978","42.38","-72.09","NA","US","0","525",
"01075","STANDARD","South Hadley",,"S Hadley, So Hadley, South Hadley Falls","MA","Hampshire County","America/New_York","413","42.26","-72.56","NA","US","0","14184",
"01077","STANDARD","Southwick",,,"MA","Hampden County","America/New_York","413","42.05","-72.76","NA","US","0","8567",
"01079","PO BOX","Thorndike",,,"MA","Hampden County","America/New_York","413","42.18","-72.33","NA","US","0","766",
"01080","STANDARD","Three Rivers",,,"MA","Hampden County","America/New_York","413","42.18","-72.37","NA","US","0","1888",
"01081","STANDARD","Wales",,,"MA","Hampden County","America/New_York","413","42.06","-72.21","NA","US","0","1491",
"01082","STANDARD","Ware","Hardwick",,"MA","Hampshire County","America/New_York","413","42.25","-72.24","NA","US","0","8509",
"01083","PO BOX","Warren",,,"MA","Worcester County","America/New_York","413","42.21","-72.19","NA","US","0","2519",
"01084","STANDARD","West Chesterfield","W Chesterfld",,"MA","Hampshire County","America/New_York","413","42.41","-72.87","NA","US","0","0",
"01085","STANDARD","Westfield","Montgomery",,"MA","Hampden County","America/New_York","413","42.13","-72.75","NA","US","0","32344",
"01086","PO BOX","Westfield",,,"MA","Hampden County","America/New_York","413","42.13","-72.75","NA","US","0","664",
"01088","STANDARD","West Hatfield","W Hatfield",,"MA","Hampshire County","America/New_York","413","42.39","-72.64","NA","US","0","458",
"01089","STANDARD","West Springfield","W Springfield","West Springfld","MA","Hampden County","America/New_York","413","42.12","-72.65","NA","US","0","23043",
"01090","PO BOX","West Springfield","W Springfield",,"MA","Hampden County","America/New_York","413","42.12","-72.65","NA","US","0","404",
"01092","PO BOX","West Warren",,"W Warren","MA","Worcester County","America/New_York","413","42.2","-72.2","NA","US","0","1063",
"01093","PO BOX","Whately",,,"MA","Franklin County","America/New_York","413","42.45","-72.61","NA","US","0","476",
"01094","PO BOX","Wheelwright",,,"MA","Worcester County","America/New_York","413","42.35","-72.14","NA","US","0","0",
"01095","STANDARD","Wilbraham",,,"MA","Hampden County","America/New_York","413","42.13","-72.43","NA","US","0","13107",
"01096","STANDARD","Williamsburg",,"S Chesterfield, South Chesterfield","MA","Hampshire County","America/New_York","413","42.4","-72.71","NA","US","0","2266",
"01097","PO BOX","Woronoco",,,"MA","Hampden County","America/New_York","413","42.19","-72.82","NA","US","0","0",
"01098","STANDARD","Worthington",,,"MA","Hampshire County","America/New_York","413","42.41","-72.93","NA","US","0","1076",
"01101","PO BOX","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","1531",
"01102","PO BOX","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01103","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","1533",
"01104","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","15795",
"01105","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","6054",
"01106","STANDARD","Longmeadow","Spfld, Springfield",,"MA","Hampden County","America/New_York","413","42.04","-72.57","NA","US","0","14332",
"01107","STANDARD","Springfield",,"Brightwood, Spfld","MA","Hampden County","America/New_York","860,413","42.11","-72.53","NA","US","0","6360",
"01108","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","17151",
"01109","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","17988",
"01111","UNIQUE","Springfield",,"Mass Mutual Life Ins Co","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01115","PO BOX","Springfield",,"Bay State W Tower","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01116","PO BOX","Longmeadow","E Longmeadow, East Longmeadow",,"MA","Hampden County","America/New_York","413","42.04","-72.57","NA","US","0","0",
"01118","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","11858",
"01119","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","9915",
"01128","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","2510",
"01129","STANDARD","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","5884",
"01133","UNIQUE","Springfield",,"Monarch Life Ins Co","MA","Hampden County","America/New_York","413","42.1","-72.59","NA","US","1","0","Converted Decommisioned Zipcodes"
"01138","PO BOX","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","509",
"01139","PO BOX","Springfield",,"Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01144","STANDARD","Springfield",,,"MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01151","STANDARD","Indian Orchard","Indian Orch, Springfield","Spfld","MA","Hampden County","America/New_York","413","42.15","-72.51","NA","US","0","6080",
"01152","STANDARD","Springfield",,"General Mail Facility-bmc","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01195","STANDARD","Springfield","Springfield Bmc",,"MA","Hampden County","America/New_York","413","42.1","-72.58","NA","US","1","0","Converted Decommisioned Zipcodes;  Historical ZipCodeType from various website"
"01199","UNIQUE","Springfield",,"Baystate Medical, Spfld","MA","Hampden County","America/New_York","413","42.11","-72.53","NA","US","0","0",
"01201","STANDARD","Pittsfield",,"Allendale","MA","Berkshire County","America/New_York","413","42.45","-73.26","NA","US","0","36002",
"01202","PO BOX","Pittsfield",,,"MA","Berkshire County","America/New_York","413","42.45","-73.26","NA","US","0","1186",
"01203","PO BOX","Pittsfield",,,"MA","Berkshire County","America/New_York","413","42.45","-73.26","NA","US","0","0",
"01220","STANDARD","Adams",,,"MA","Berkshire County","America/New_York","413","42.62","-73.11","NA","US","0","6993",
"01222","STANDARD","Ashley Falls",,,"MA","Berkshire County","America/New_York","413","42.05","-73.33","NA","US","0","681",
"01223","STANDARD","Becket","Washington","Becket Corners, Sherwood Forest","MA","Berkshire County","America/New_York","413","42.33","-73.07","NA","US","0","1964",
"01224","STANDARD","Berkshire","Lanesboro",,"MA","Berkshire County","America/New_York","413","42.51","-73.19","NA","US","0","0",
"01225","STANDARD","Cheshire",,,"MA","Berkshire County","America/New_York","413","42.55","-73.15","NA","US","0","2990",
"01226","STANDARD","Dalton",,,"MA","Berkshire County","America/New_York","413","42.47","-73.16","NA","US","0","5793",
"01227","PO BOX","Dalton",,,"MA","Berkshire County","America/New_York","413","42.47","-73.16","NA","US","0","0",
"01229","PO BOX","Glendale",,,"MA","Berkshire County","America/New_York","413","42.3","-73.32","NA","US","0","0",
"01230","STANDARD","Great Barrington","Egremont, Gt Barrington, N Egremont, New Marlboro, New Marlborou, New Marlborough, North Egremont, Simons Rock","Alford, Berkshire Heights, Hartsville, Risingdale, Van Deusenville","MA","Berkshire County","America/New_York","413","42.19","-73.35","NA","US","0","5873"